Configuration,Source,Destination,Distance,Path_Length,Computation_Time_ms,Algorithm,Num_Threads
sequential,59,2081,295.3,11,16.0675048828125,Sequential,1
sequential,261,2572,203.98999999999998,7,4.8274993896484375,Sequential,1
sequential,3134,1233,270.40000000000003,15,15.032768249511719,Sequential,1
sequential,2116,2897,197.48000000000002,7,2.605915069580078,Sequential,1
sequential,4270,2362,382.27000000000004,14,19.637584686279297,Sequential,1
sequential,2588,4106,313.9,12,18.390893936157227,Sequential,1
sequential,4775,3792,280.98999999999995,11,18.32437515258789,Sequential,1
sequential,4247,703,232.90999999999997,11,9.461402893066406,Sequential,1
sequential,1865,912,246.92,8,15.127182006835938,Sequential,1
sequential,781,4026,251.05,11,14.706611633300781,Sequential,1
sequential,1233,2680,197.88,7,47.94168472290039,Sequential,1
sequential,1104,4819,264.31,11,14.99032974243164,Sequential,1
sequential,1285,2825,258.06000000000006,12,28.432130813598633,Sequential,1
sequential,3833,4184,304.91999999999996,13,16.26300811767578,Sequential,1
sequential,3548,1159,201.11,10,6.976842880249023,Sequential,1
sequential,2041,3121,210.74,9,7.787466049194336,Sequential,1
sequential,1033,2061,342.66999999999996,13,19.378185272216797,Sequential,1
sequential,1690,4124,201.88,7,5.781888961791992,Sequential,1
sequential,2057,1975,311.56,8,17.83132553100586,Sequential,1
sequential,837,629,289.13,12,15.735149383544922,Sequential,1
parallel_1t,2087,581,323.89,12,47.0,OpenMP,1
parallel_1t,4939,3293,224.2,11,24.0,OpenMP,1
parallel_1t,1685,4207,199.06,8,22.0,OpenMP,1
parallel_1t,1548,295,298.98,11,57.0,OpenMP,1
parallel_1t,4810,3854,220.1,6,17.0,OpenMP,1
parallel_1t,4967,3954,299.57,9,51.0,OpenMP,1
parallel_1t,1912,2837,328.97,11,49.0,OpenMP,1
parallel_1t,2236,3972,384.1,11,69.0,OpenMP,1
parallel_1t,4590,339,312.9,10,61.0,OpenMP,1
parallel_1t,3150,2447,inf,0,70.0,OpenMP,1
parallel_1t,1428,954,312.76,12,63.0,OpenMP,1
parallel_1t,2340,1602,285.32,12,62.0,OpenMP,1
parallel_1t,3698,4716,201.61,11,10.0,OpenMP,1
parallel_1t,3945,3004,243.19,9,35.0,OpenMP,1
parallel_1t,4949,943,inf,0,73.0,OpenMP,1
parallel_1t,227,1103,207.66,8,4.0,OpenMP,1
parallel_1t,2734,2356,283.61,14,32.0,OpenMP,1
parallel_1t,4381,4351,253.65,10,37.0,OpenMP,1
parallel_1t,1875,2676,237.65,11,26.0,OpenMP,1
parallel_1t,1027,239,349.24,11,69.0,OpenMP,1
parallel_2t,1711,2613,292.53,13,144.0,OpenMP,2
parallel_2t,3931,3095,256.93,10,57.0,OpenMP,2
parallel_2t,4287,2828,264.08,10,144.0,OpenMP,2
parallel_2t,3240,683,291.59,10,176.0,OpenMP,2
parallel_2t,1872,752,252.96,7,98.0,OpenMP,2
parallel_2t,4700,1962,320.12,12,165.0,OpenMP,2
parallel_2t,2746,1185,91.41,3,3.0,OpenMP,2
parallel_2t,504,3809,242.25,11,105.0,OpenMP,2
parallel_2t,4523,4803,152.62,7,5.0,OpenMP,2
parallel_2t,2452,3070,245.66,8,110.0,OpenMP,2
parallel_2t,2038,3933,269.58,9,141.0,OpenMP,2
parallel_2t,2893,4254,282.31,12,150.0,OpenMP,2
parallel_2t,1217,434,308.96,11,62.0,OpenMP,2
parallel_2t,2526,1039,210.74,6,80.0,OpenMP,2
parallel_2t,1515,73,339.21,13,145.0,OpenMP,2
parallel_2t,2278,3339,187.63,9,22.0,OpenMP,2
parallel_2t,89,1202,285.29,13,154.0,OpenMP,2
parallel_2t,342,2984,256.53,11,107.0,OpenMP,2
parallel_2t,1430,2909,188.77,8,26.0,OpenMP,2
parallel_2t,4081,3061,201.24,10,21.0,OpenMP,2
parallel_4t,1898,3829,264.81,7,45.0,OpenMP,4
parallel_4t,2477,2175,232.87,13,170.0,OpenMP,4
parallel_4t,441,1591,167.34,8,40.0,OpenMP,4
parallel_4t,4517,3327,236.16,9,98.0,OpenMP,4
parallel_4t,4917,817,266.52,13,100.0,OpenMP,4
parallel_4t,398,3989,334.76,12,371.0,OpenMP,4
parallel_4t,4743,3830,303.95,15,268.0,OpenMP,4
parallel_4t,2449,2465,inf,0,395.0,OpenMP,4
parallel_4t,1066,4652,270.1,12,286.0,OpenMP,4
parallel_4t,3745,1765,296.77,15,279.0,OpenMP,4
parallel_4t,571,3827,281.97,14,181.0,OpenMP,4
parallel_4t,440,397,285.69,13,283.0,OpenMP,4
parallel_4t,61,1640,282.23,10,277.0,OpenMP,4
parallel_4t,1498,1068,138.71,6,86.0,OpenMP,4
parallel_4t,4098,521,268.19,8,150.0,OpenMP,4
parallel_4t,2601,653,308.95,10,308.0,OpenMP,4
parallel_4t,1190,4949,223.67,11,60.0,OpenMP,4
parallel_4t,3652,4968,292.27,11,205.0,OpenMP,4
parallel_4t,49,3596,249.26,7,232.0,OpenMP,4
parallel_4t,1041,4060,272.82,10,256.0,OpenMP,4
